ds,y
2024-10-16T11,1
2024-10-16T12,1
2024-10-16T13,1
2024-10-16T14,1
2024-10-16T15,1
2024-10-16T16,0
2024-10-16T17,1
2024-10-16T18,1
2024-10-16T19,1
2024-10-16T20,1
2024-10-16T21,1
2024-10-16T22,1
2024-10-16T23,1
2024-10-17T00,1
2024-10-17T01,0
2024-10-17T02,0
2024-10-17T03,0
2024-10-17T04,0
2024-10-17T05,2
2024-10-17T06,1
2024-10-17T07,1
2024-10-17T08,1
2024-10-17T09,1
2024-10-17T10,1
2024-10-17T11,1
2024-10-17T12,1
2024-10-17T13,1
2024-10-17T14,1
2024-10-17T15,1
2024-10-17T16,1
2024-10-17T17,0
2024-10-17T18,0
2024-10-17T19,1
2024-10-17T20,1
2024-10-17T21,1
2024-10-17T22,1
2024-10-17T23,1
2024-10-18T00,0
2024-10-18T01,0
2024-10-18T02,0
2024-10-18T03,0
2024-10-18T04,0
2024-10-18T05,0
2024-10-18T06,0
2024-10-18T07,1
2024-10-18T08,1
2024-10-18T09,1
2024-10-18T10,0
2024-10-18T11,1
2024-10-18T12,1
2024-10-18T13,0
2024-10-18T14,0
2024-10-18T15,0
2024-10-18T16,1
2024-10-18T17,1
2024-10-18T18,1
2024-10-18T19,1
2024-10-18T20,1
2024-10-18T21,1
2024-10-18T22,1
2024-10-18T23,1
2024-10-19T00,0
2024-10-19T01,2
2024-10-19T02,0
2024-10-19T03,0
2024-10-19T04,0
2024-10-19T05,0
2024-10-19T06,0
2024-10-19T07,0
2024-10-19T08,1
2024-10-19T09,0
2024-10-19T10,1
2024-10-19T11,6
2024-10-19T12,22
2024-10-19T13,59
2024-10-19T14,82
2024-10-19T15,84
2024-10-19T16,69
2024-10-19T17,73
2024-10-19T18,71
2024-10-19T19,89
2024-10-19T20,94
2024-10-19T21,88
2024-10-19T22,84
2024-10-19T23,75
2024-10-20T00,63
2024-10-20T01,66
2024-10-20T02,61
2024-10-20T03,82
2024-10-20T04,100
2024-10-20T05,84
2024-10-20T06,69
2024-10-20T07,46
2024-10-20T08,50
2024-10-20T09,46
2024-10-20T10,50
2024-10-20T11,54
2024-10-20T12,51
2024-10-20T13,50
2024-10-20T14,53
2024-10-20T15,47
2024-10-20T16,42
2024-10-20T17,42
2024-10-20T18,46
2024-10-20T19,42
2024-10-20T20,46
2024-10-20T21,46
2024-10-20T22,43
2024-10-20T23,41
2024-10-21T00,37
2024-10-21T01,35
2024-10-21T02,41
2024-10-21T03,46
2024-10-21T04,39
2024-10-21T05,38
2024-10-21T06,36
2024-10-21T07,40
2024-10-21T08,38
2024-10-21T09,39
2024-10-21T10,40
2024-10-21T11,38
2024-10-21T12,36
2024-10-21T13,37
2024-10-21T14,37
2024-10-21T15,35
2024-10-21T16,32
2024-10-21T17,30
2024-10-21T18,30
2024-10-21T19,30
2024-10-21T20,31
2024-10-21T21,35
2024-10-21T22,34
2024-10-21T23,31
2024-10-22T00,27
2024-10-22T01,32
2024-10-22T02,28
2024-10-22T03,34
2024-10-22T04,34
2024-10-22T05,24
2024-10-22T06,24
2024-10-22T07,24
2024-10-22T08,25
2024-10-22T09,25
2024-10-22T10,25
2024-10-22T11,25
2024-10-22T12,28
2024-10-22T13,28
2024-10-22T14,29
2024-10-22T15,26
2024-10-22T16,23
2024-10-22T17,23
2024-10-22T18,24
2024-10-22T19,24
2024-10-22T20,25
2024-10-22T21,30
2024-10-22T22,29
2024-10-22T23,29
2024-10-23T00,29
2024-10-23T01,23
2024-10-23T02,26
2024-10-23T03,33
2024-10-23T04,24
2024-10-23T05,20
2024-10-23T06,19
2024-10-23T07,20
2024-10-23T08,20
2024-10-23T09,21
2024-10-23T10,23
2024-10-23T11,21
